cod_setor,UF,municipio,urbano,num_residentes,num_brancos,num_pretos,num_amarelos,num_pardos,num_indigenas,alfabetizados,n_alfabetizados,porc_brancos,porc_pretos,porc_amarelos,porc_pardos,porc_indigenas,porc_alfabetizados,porc_brancos_amarelos,porc_indigenas_pardos_pretos
251080805000029,Paraiba,PATOS,Urbano,703,327,16,14,342,4,531,145,0.465149359886202,0.02275960170697013,0.01991465149359886,0.4864864864864865,0.005689900426742532,0.7855029585798816,0.4850640113798008,0.5149359886201992
251080805000030,Paraiba,PATOS,Urbano,935,408,23,0,504,0,835,120,0.43636363636363634,0.02459893048128342,0,0.5390374331550802,0,0.8743455497382199,0.43636363636363634,0.5636363636363637
251080805000031,Paraiba,PATOS,Urbano,465,262,15,8,180,0,397,68,0.5634408602150538,0.03225806451612903,0.017204301075268817,0.3870967741935484,0,0.853763440860215,0.5806451612903226,0.4193548387096774
251080805000032,Paraiba,PATOS,Urbano,988,646,47,2,293,0,1060,108,0.6538461538461539,0.04757085020242915,0.0020242914979757085,0.2965587044534413,0,0.9075342465753424,0.6558704453441295,0.3441295546558704
251080805000033,Paraiba,PATOS,Urbano,535,173,55,10,296,1,358,184,0.3233644859813084,0.102803738317757,0.018691588785046728,0.5532710280373832,0.001869158878504673,0.6605166051660517,0.34205607476635513,0.6579439252336449
251080805000034,Paraiba,PATOS,Urbano,959,388,150,24,396,1,569,444,0.4045881126173097,0.15641293013555788,0.02502606882168926,0.4129301355578728,0.0010427528675703858,0.5616979269496545,0.429614181438999,0.570385818561001
251080805000035,Paraiba,PATOS,Urbano,393,163,27,0,203,0,266,153,0.41475826972010177,0.06870229007633588,0,0.51653944020356235,0,0.6348448687350835,0.41475826972010177,0.5852417302798982
251080805000036,Paraiba,PATOS,Urbano,907,466,45,1,395,0,649,236,0.5137816979051819,0.04961411245865491,0.0011025358324145535,0.4355016538037486,0,0.7333333333333333,0.5148842337375965,0.4851157662624035
251080805000037,Paraiba,PATOS,Urbano,1162,598,110,40,406,8,851,284,0.5146299483648882,0.09466437177280551,0.03442340791738382,0.3493975903614458,0.0068846815834767644,0.7497797356828194,0.549053356282272,0.4509466437177281
251080805000038,Paraiba,PATOS,Urbano,1088,503,37,11,532,5,972,240,0.46231617647058826,0.03400735294117647,0.01011029411764706,0.4889705882352941,0.004595588235294118,0.801980198019802,0.47242647058823534,0.5275735294117647
251080805000039,Paraiba,PATOS,Urbano,882,388,22,0,472,0,893,174,0.4399092970521542,0.024943310657596373,0,0.5351473922902494,0,0.8369259606373008,0.4399092970521542,0.5600907029478458
251080805000040,Paraiba,PATOS,Urbano,469,230,22,17,200,0,741,300,0.4904051172707889,0.046908315565031986,0.03624733475479744,0.42643923240938164,0,0.7118155619596542,0.5266524520255863,0.47334754797441364
251080805000041,Paraiba,PATOS,Urbano,700,321,69,9,291,10,506,196,0.4585714285714286,0.09857142857142857,0.012857142857142857,0.4157142857142857,0.014285714285714285,0.7207977207977208,0.4714285714285714,0.5285714285714285
251080805000042,Paraiba,PATOS,Urbano,765,331,134,26,274,0,494,245,0.4326797385620915,0.17516339869281045,0.03398692810457516,0.3581699346405229,0,0.6684709066305818,0.4666666666666667,0.5333333333333333
251080805000043,Paraiba,PATOS,Urbano,1223,557,84,43,538,1,603,174,0.455437448896157,0.0686835650040883,0.03515944399018806,0.4399018806214227,0.00081766148814390845,0.7760617760617761,0.49059689288634506,0.5094031071136549
251080805000044,Paraiba,PATOS,Urbano,1095,459,42,2,592,0,663,402,0.4191780821917808,0.038356164383561646,0.0018264840182648401,0.5406392694063927,0,0.6225352112676056,0.42100456621004567,0.5789954337899543
251080805000045,Paraiba,PATOS,Urbano,644,394,10,3,237,0,1174,192,0.6118012422360248,0.015527950310559006,0.004658385093167702,0.36801242236024845,0,0.8594436310395315,0.6164596273291926,0.38354037267080743
251080805000046,Paraiba,PATOS,Urbano,983,563,29,8,383,0,598,212,0.572736520854527,0.029501525940996948,0.008138351983723296,0.3896236012207528,0,0.7382716049382716,0.5808748728382502,0.41912512716174977
251080805000047,Paraiba,PATOS,Urbano,537,126,1,8,402,0,854,164,0.2346368715083799,0.00186219739292365,0.0148975791433892,0.7486033519553073,0,0.8388998035363457,0.2495344506517691,0.750465549348231
251080805000048,Paraiba,PATOS,Urbano,4,NA,NA,NA,NA,NA,884,413,NA,NA,NA,NA,NA,0.6815728604471858,NA,NA
251080805000049,Paraiba,PATOS,Urbano,1805,902,112,41,750,0,718,264,0.4997229916897507,0.06204986149584488,0.022714681440443214,0.4155124653739612,0,0.7311608961303462,0.522437673130194,0.47756232686980604
251080805000050,Paraiba,PATOS,Urbano,857,509,104,27,217,0,1006,325,0.5939323220536756,0.12135355892648775,0.03150525087514586,0.2532088681446908,0,0.7558226897069872,0.6254375729288215,0.37456242707117854
251080805000051,Paraiba,PATOS,Urbano,672,372,14,6,279,1,988,156,0.5535714285714286,0.020833333333333332,0.008928571428571428,0.41517857142857145,0.001488095238095238,0.8636363636363636,0.5625,0.4375
251080805000052,Paraiba,PATOS,Urbano,500,267,30,15,188,0,765,414,0.534,0.06,0.03,0.376,0,0.648854961832061,0.5640000000000001,0.436
251080805000053,Paraiba,PATOS,Urbano,577,209,39,10,319,0,837,439,0.36221837088388215,0.06759098786828423,0.01733102253032929,0.5528596187175043,0,0.6559561128526645,0.37954939341421146,0.6204506065857885
251080805000054,Paraiba,PATOS,Urbano,412,150,35,5,222,0,301,134,0.3640776699029126,0.08495145631067962,0.012135922330097087,0.5388349514563107,0,0.6919540229885057,0.3762135922330097,0.6237864077669902
251080805000055,Paraiba,PATOS,Urbano,615,233,36,20,322,4,722,230,0.37886178861788616,0.05853658536585366,0.032520325203252036,0.5235772357723577,0.0065040650406504065,0.7584033613445378,0.4113821138211382,0.5886178861788618
251080805000056,Paraiba,PATOS,Urbano,662,280,35,5,342,0,566,302,0.4229607250755287,0.052870090634441085,0.0075528700906344415,0.5166163141993958,0,0.652073732718894,0.4305135951661631,0.5694864048338368
251080805000057,Paraiba,PATOS,Urbano,557,302,14,0,241,0,1174,373,0.5421903052064632,0.025134649910233394,0,0.4326750448833034,0,0.7588881706528765,0.5421903052064632,0.4578096947935368
251080805000058,Paraiba,PATOS,Urbano,1163,553,24,11,575,0,827,156,0.4754944110060189,0.02063628546861565,0.009458297506448839,0.4944110060189166,0,0.8413021363173957,0.48495270851246775,0.5150472914875323
251080805000059,Paraiba,PATOS,Urbano,1204,550,48,1,604,1,782,335,0.4568106312292359,0.03986710963455149,8.305647840531562e-4,0.5016611295681063,8.305647840531562e-4,0.7000895255147717,0.457641196013289,0.542358803986711
251080805000060,Paraiba,PATOS,Urbano,654,237,31,6,378,2,524,218,0.3623853211009174,0.047400611620795105,0.009174311926605505,0.5779816513761468,0.0030581039755351682,0.706199460916442,0.37155963302752293,0.6284403669724771
251080805000061,Paraiba,PATOS,Urbano,1429,466,66,29,868,0,604,431,0.3261021693491952,0.04618614415675298,0.020293911826452064,0.6074177746675997,0,0.5835748792270531,0.3463960811756473,0.6536039188243526
251080805000062,Paraiba,PATOS,Urbano,376,108,22,3,243,0,1036,237,0.2872340425531915,0.05851063829787234,0.007978723404255319,0.6462765957446809,0,0.8138256087981147,0.29521276595744683,0.7047872340425532
251080805000063,Paraiba,PATOS,Urbano,952,301,51,13,586,1,712,429,0.3161764705882353,0.05357142857142857,0.01365546218487395,0.615546218487395,0.0010504201680672268,0.6240140227870289,0.32983193277310924,0.6701680672268908
251080805000064,Paraiba,PATOS,Urbano,1038,395,62,34,547,0,805,469,0.3805394990366089,0.05973025048169557,0.03275529865125241,0.5269749518304432,0,0.6318681318681318,0.4132947976878613,0.5867052023121387
