NOME_CURSO,IES,UF,pergunta,categoria,enunciado,media,n,rank,tema
Ciência Da Computação (Bacharelado) (20833),UNI-BH,MG,38,"Ensino, apoio e avaliacão",Os planos de ensino apresentados pelos professores contribuíram para o desenvolvimento das atividades acadêmicas e para seus estudos.,4.368421052631579,57,24,Planos de ensino
Ciência Da Computação (Bacharelado) (72331),UNINOVE,SP,34,Aprendizagem além do técnico,"O curso promoveu o desenvolvimento da sua capacidade de pensar criticamente, analisar e refletir sobre soluções para problemas da sociedade.",4.368421052631579,57,28,Pensamento crítico
Ciência Da Computação (Bacharelado) (12581),UFPR,PR,27,Aprendizagem além do técnico,"As disciplinas cursadas contribuíram para sua formação integral, como cidadão e profissional.",4.365079365079365,63,36,Formação cidadã e profissional
Ciência Da Computação (Bacharelado) (12581),UFPR,PR,29,Aprendizagem além do técnico,As metodologias de ensino utilizadas no curso desafiaram você a aprofundar conhecimentos e desenvolver competências reflexivas e críticas.,4.365079365079365,63,25,Metodologias de ensino
Ciência Da Computação (Bacharelado) (1452),UFU,MG,29,Aprendizagem além do técnico,As metodologias de ensino utilizadas no curso desafiaram você a aprofundar conhecimentos e desenvolver competências reflexivas e críticas.,4.364705882352941,85,26,Metodologias de ensino
Ciência Da Computação (Bacharelado) (13595),UFPE,PE,46,Curso em geral,A instituição ofereceu oportunidades para os estudantes atuarem como representantes em órgãos colegiados.,4.363636363636363,66,19,Participação dos alunos
Ciência Da Computação (Bacharelado) (1452),UFU,MG,53,Curso em geral,Foram oferecidas oportunidades para os estudantes realizarem intercâmbios e/ou estágios fora do país.,4.3625,80,22,Oport. Intercâmbio exterior
Ciência Da Computação (Bacharelado) (13595),UFPE,PE,65,Infraestrutura,A instituição contou com biblioteca virtual ou conferiu acesso a obras disponíveis em acervos virtuais.,4.36144578313253,83,23,Biblioteca virtual
Ciência Da Computação (Bacharelado) (1452),UFU,MG,35,Aprendizagem além do técnico,O curso contribuiu para você ampliar sua capacidade de comunicação nas formas oral e escrita.,4.36144578313253,83,29,Comunicação oral e escrita
Ciência Da Computação (Bacharelado) (12946),UFMG,MG,65,Infraestrutura,A instituição contou com biblioteca virtual ou conferiu acesso a obras disponíveis em acervos virtuais.,4.36,50,24,Biblioteca virtual
Ciência Da Computação (Bacharelado) (62484),UFAM,AM,68,Infraestrutura,"A instituição dispôs de refeitório, cantina e banheiros em condições adequadas que atenderam as necessidades dos seus usuários.",4.36,50,30,"Refeitório, cantina e banheiros"
Ciência Da Computação (Bacharelado) (13446),UFCG,PB,61,Infraestrutura,As condições de infraestrutura das salas de aula foram adequadas.,4.358208955223881,67,31,Salas de aula
Ciência Da Computação (Bacharelado) (5000356),UERJ,RJ,34,Aprendizagem além do técnico,"O curso promoveu o desenvolvimento da sua capacidade de pensar criticamente, analisar e refletir sobre soluções para problemas da sociedade.",4.3578947368421055,95,29,Pensamento crítico
Ciência Da Computação (Bacharelado) (14217),UFSC,SC,27,Aprendizagem além do técnico,"As disciplinas cursadas contribuíram para sua formação integral, como cidadão e profissional.",4.357142857142858,56,37,Formação cidadã e profissional
Ciência Da Computação (Bacharelado) (1452),UFU,MG,68,Infraestrutura,"A instituição dispôs de refeitório, cantina e banheiros em condições adequadas que atenderam as necessidades dos seus usuários.",4.357142857142857,84,31,"Refeitório, cantina e banheiros"
Ciência Da Computação (Bacharelado) (72331),UNINOVE,SP,49,Curso em geral,O curso propiciou acesso a conhecimentos atualizados e/ou contemporâneos em sua área de formação.,4.3559322033898304,59,25,Conteúdo atualizado
Ciência Da Computação (Bacharelado) (107920),FAC. PITÁGORAS DE SÃO LUIZ,MA,63,Infraestrutura,Os ambientes e equipamentos destinados às aulas práticas foram adequados ao curso.,4.355263157894736,76,33,Ambiente p/ aulas práticas
Ciência Da Computação (Bacharelado) (13277),UFBA,BA,59,Infraestrutura,A instituição dispôs de quantidade suficiente de funcionários para o apoio administrativo e acadêmico.,4.354838709677419,62,36,Quant. de Funcionários
Ciência Da Computação (Bacharelado) (14098),UFG,GO,38,"Ensino, apoio e avaliacão",Os planos de ensino apresentados pelos professores contribuíram para o desenvolvimento das atividades acadêmicas e para seus estudos.,4.353846153846154,65,25,Planos de ensino
Ciência Da Computação (Bacharelado) (2209),UECE,CE,56,"Ensino, apoio e avaliacão",Os professores apresentaram disponibilidade para atender os estudantes fora do horário das aulas.,4.353846153846154,65,36,Disponibilidade dos profs
Ciência Da Computação (Bacharelado) (513),UFPI,PI,38,"Ensino, apoio e avaliacão",Os planos de ensino apresentados pelos professores contribuíram para o desenvolvimento das atividades acadêmicas e para seus estudos.,4.352941176470588,51,26,Planos de ensino
Ciência Da Computação (Bacharelado) (57702),UNISINOS,RS,52,Curso em geral,Foram oferecidas oportunidades para os estudantes realizarem intercâmbios e/ou estágios no país.,4.352941176470588,51,18,Oport. Intercâmbio no país
Ciência Da Computação (Bacharelado) (20833),UNI-BH,MG,63,Infraestrutura,Os ambientes e equipamentos destinados às aulas práticas foram adequados ao curso.,4.350877192982456,57,34,Ambiente p/ aulas práticas
Ciência Da Computação (Bacharelado) (72331),UNINOVE,SP,30,"Ensino, apoio e avaliacão",O curso propiciou experiências de aprendizagem inovadoras.,4.3508771929824555,57,22,Aprendizagem inovadora
Ciência Da Computação (Bacharelado) (15002),UFPEL,RS,29,Aprendizagem além do técnico,As metodologias de ensino utilizadas no curso desafiaram você a aprofundar conhecimentos e desenvolver competências reflexivas e críticas.,4.3478260869565215,69,27,Metodologias de ensino
Ciência Da Computação (Bacharelado) (12946),UFMG,MG,28,Aprendizagem além do técnico,Os conteúdos abordados nas disciplinas do curso favoreceram sua atuação em estágios ou em atividades de iniciação profissional.,4.343283582089552,67,26,Conteúdo útil p/ prática
Ciência Da Computação (Bacharelado) (66272),UNINOVE,SP,56,"Ensino, apoio e avaliacão",Os professores apresentaram disponibilidade para atender os estudantes fora do horário das aulas.,4.341463414634147,82,37,Disponibilidade dos profs
Ciência Da Computação (Bacharelado) (1452),UFU,MG,31,Aprendizagem além do técnico,O curso contribuiu para o desenvolvimento da sua consciência ética para o exercício profissional.,4.341176470588236,85,29,Consciência ética
Ciência Da Computação (Bacharelado) (18974),MACKENZIE,SP,37,"Ensino, apoio e avaliacão",As relações professor-aluno ao longo do curso estimularam você a estudar e aprender.,4.340425531914893,94,22,Relações professor-aluno
Ciência Da Computação (Bacharelado) (1904),PUCRS,RS,33,Aprendizagem além do técnico,O curso possibilitou aumentar sua capacidade de reflexão e argumentação.,4.338709677419355,62,37,Reflexão e argumentação
Ciência Da Computação (Bacharelado) (37862),FACAPE,PE,49,Curso em geral,O curso propiciou acesso a conhecimentos atualizados e/ou contemporâneos em sua área de formação.,4.338709677419355,62,26,Conteúdo atualizado
Ciência Da Computação (Bacharelado) (13277),UFBA,BA,49,Curso em geral,O curso propiciou acesso a conhecimentos atualizados e/ou contemporâneos em sua área de formação.,4.333333333333333,66,27,Conteúdo atualizado
Ciência Da Computação (Bacharelado) (18335),UFLA,MG,40,"Ensino, apoio e avaliacão",Foram oferecidas oportunidades para os estudantes superarem dificuldades relacionadas ao processo de formação.,4.333333333333333,57,16,Ajuda com dificuldades
Ciência Da Computação (Bacharelado) (18335),UFLA,MG,52,Curso em geral,Foram oferecidas oportunidades para os estudantes realizarem intercâmbios e/ou estágios no país.,4.333333333333333,54,19,Oport. Intercâmbio no país
Ciência Da Computação (Bacharelado) (1904),PUCRS,RS,52,Curso em geral,Foram oferecidas oportunidades para os estudantes realizarem intercâmbios e/ou estágios no país.,4.333333333333333,54,20,Oport. Intercâmbio no país
