NOME_CURSO,IES,UF,pergunta,categoria,enunciado,media,n,rank,tema
Pedagogia (Licenciatura) (13410),UFCG,PB,34,Aprendizagem além do técnico,"O curso promoveu o desenvolvimento da sua capacidade de pensar criticamente, analisar e refletir sobre soluções para problemas da sociedade.",5.609195402298851,87,4,Pensamento crítico
Pedagogia (Licenciatura) (13452),UFCG,PB,55,"Ensino, apoio e avaliacão",As avaliações da aprendizagem realizadas durante o curso foram compatíveis com os conteúdos ou temas trabalhados pelos professores.,5.607142857142858,28,1,Avaliações
Pedagogia (Licenciatura) (13452),UFCG,PB,39,"Ensino, apoio e avaliacão",As referências bibliográficas indicadas pelos professores nos planos de ensino contribuíram para seus estudos e aprendizagens.,5.607142857142857,28,1,Bibliografia
Ciências Biológicas (Licenciatura) (99804),UFCG,PB,35,Aprendizagem além do técnico,O curso contribuiu para você ampliar sua capacidade de comunicação nas formas oral e escrita.,5.592592592592593,54,3,Comunicação oral e escrita
Letras-Português (Licenciatura) (1160083),UFCG,PB,57,"Ensino, apoio e avaliacão",Os professores demonstraram domínio dos conteúdos abordados nas disciplinas.,5.590909090909092,44,2,Profs dominam assunto
História (Licenciatura) (13405),UFCG,PB,33,Aprendizagem além do técnico,O curso possibilitou aumentar sua capacidade de reflexão e argumentação.,5.58904109589041,73,5,Reflexão e argumentação
Pedagogia (Licenciatura) (13452),UFCG,PB,49,Curso em geral,O curso propiciou acesso a conhecimentos atualizados e/ou contemporâneos em sua área de formação.,5.586206896551724,29,1,Conteúdo atualizado
Pedagogia (Licenciatura) (13452),UFCG,PB,50,Outros,O estágio supervisionado proporcionou experiências diversificadas para a sua formação.,5.586206896551724,29,3,Estágio
Pedagogia (Licenciatura) (13452),UFCG,PB,57,"Ensino, apoio e avaliacão",Os professores demonstraram domínio dos conteúdos abordados nas disciplinas.,5.586206896551724,29,3,Profs dominam assunto
Engenharia Elétrica (13438),UFCG,PB,42,Curso em geral,O curso exigiu de você organização e dedicação frequente aos estudos.,5.58125,160,4,Exigiu org. e dedicação
Letras-Português (Licenciatura) (1158116),UFCG,PB,35,Aprendizagem além do técnico,O curso contribuiu para você ampliar sua capacidade de comunicação nas formas oral e escrita.,5.580645161290322,31,4,Comunicação oral e escrita
Ciência Da Computação (Bacharelado) (13446),UFCG,PB,43,Curso em geral,"Foram oferecidas oportunidades para os estudantes participarem de programas, projetos ou atividades de extensão universitária.",5.575757575757576,66,2,Oport. de extensão
Ciências Sociais (Licenciatura) (1106595),UFCG,PB,35,Aprendizagem além do técnico,O curso contribuiu para você ampliar sua capacidade de comunicação nas formas oral e escrita.,5.574468085106383,47,5,Comunicação oral e escrita
Ciências Biológicas (Licenciatura) (99804),UFCG,PB,33,Aprendizagem além do técnico,O curso possibilitou aumentar sua capacidade de reflexão e argumentação.,5.574074074074074,54,6,Reflexão e argumentação
Engenharia (13445),UFCG,PB,42,Curso em geral,O curso exigiu de você organização e dedicação frequente aos estudos.,5.5625,32,5,Exigiu org. e dedicação
Química (Licenciatura) (99808),UFCG,PB,42,Curso em geral,O curso exigiu de você organização e dedicação frequente aos estudos.,5.56,25,6,Exigiu org. e dedicação
Pedagogia (Licenciatura) (13410),UFCG,PB,42,Curso em geral,O curso exigiu de você organização e dedicação frequente aos estudos.,5.551724137931034,87,7,Exigiu org. e dedicação
Letras-Português (Licenciatura) (1158116),UFCG,PB,33,Aprendizagem além do técnico,O curso possibilitou aumentar sua capacidade de reflexão e argumentação.,5.548387096774193,31,7,Reflexão e argumentação
Letras-Português (Licenciatura) (1160083),UFCG,PB,42,Curso em geral,O curso exigiu de você organização e dedicação frequente aos estudos.,5.545454545454545,44,8,Exigiu org. e dedicação
Ciências Sociais (Licenciatura) (1106595),UFCG,PB,27,Aprendizagem além do técnico,"As disciplinas cursadas contribuíram para sua formação integral, como cidadão e profissional.",5.543478260869565,46,2,Formação cidadã e profissional
Ciências Biológicas (Licenciatura) (99802),UFCG,PB,42,Curso em geral,O curso exigiu de você organização e dedicação frequente aos estudos.,5.542857142857143,35,9,Exigiu org. e dedicação
Ciências Biológicas (Licenciatura) (99804),UFCG,PB,57,"Ensino, apoio e avaliacão",Os professores demonstraram domínio dos conteúdos abordados nas disciplinas.,5.537037037037037,54,4,Profs dominam assunto
História (Licenciatura) (13449),UFCG,PB,33,Aprendizagem além do técnico,O curso possibilitou aumentar sua capacidade de reflexão e argumentação.,5.533333333333334,75,8,Reflexão e argumentação
Ciência Da Computação (Bacharelado) (13446),UFCG,PB,32,Aprendizagem além do técnico,No curso você teve oportunidade de aprender a trabalhar em equipe.,5.53030303030303,66,3,Trabalhar em equipe
Engenharia Florestal (13456),UFCG,PB,32,Aprendizagem além do técnico,No curso você teve oportunidade de aprender a trabalhar em equipe.,5.523809523809525,21,4,Trabalhar em equipe
Engenharia Florestal (13456),UFCG,PB,31,Aprendizagem além do técnico,O curso contribuiu para o desenvolvimento da sua consciência ética para o exercício profissional.,5.523809523809524,21,4,Consciência ética
Geografia (Licenciatura) (13407),UFCG,PB,34,Aprendizagem além do técnico,"O curso promoveu o desenvolvimento da sua capacidade de pensar criticamente, analisar e refletir sobre soluções para problemas da sociedade.",5.523809523809524,42,5,Pensamento crítico
Letras-Português (Licenciatura) (1160083),UFCG,PB,31,Aprendizagem além do técnico,O curso contribuiu para o desenvolvimento da sua consciência ética para o exercício profissional.,5.522727272727273,44,5,Consciência ética
Letras-Português (Licenciatura) (1160083),UFCG,PB,36,Aprendizagem além do técnico,O curso contribuiu para o desenvolvimento da sua capacidade de aprender e atualizar-se permanentemente.,5.5227272727272725,44,2,Capacidade de se atualizar
Engenharia Ambiental (112282),UFCG,PB,34,Aprendizagem além do técnico,"O curso promoveu o desenvolvimento da sua capacidade de pensar criticamente, analisar e refletir sobre soluções para problemas da sociedade.",5.520833333333333,48,6,Pensamento crítico
Química (Licenciatura) (99808),UFCG,PB,43,Curso em geral,"Foram oferecidas oportunidades para os estudantes participarem de programas, projetos ou atividades de extensão universitária.",5.52,25,3,Oport. de extensão
Ciências Biológicas (Licenciatura) (99804),UFCG,PB,42,Curso em geral,O curso exigiu de você organização e dedicação frequente aos estudos.,5.518518518518519,54,10,Exigiu org. e dedicação
Ciências Biológicas (Licenciatura) (99804),UFCG,PB,27,Aprendizagem além do técnico,"As disciplinas cursadas contribuíram para sua formação integral, como cidadão e profissional.",5.518518518518518,54,3,Formação cidadã e profissional
Ciências Biológicas (Licenciatura) (99804),UFCG,PB,64,Infraestrutura,A biblioteca dispôs das referências bibliográficas que os estudantes necessitaram.,5.518518518518518,54,1,Biblioteca
Engenharia Mecânica (13442),UFCG,PB,42,Curso em geral,O curso exigiu de você organização e dedicação frequente aos estudos.,5.517857142857142,56,11,Exigiu org. e dedicação
Pedagogia (Licenciatura) (13410),UFCG,PB,35,Aprendizagem além do técnico,O curso contribuiu para você ampliar sua capacidade de comunicação nas formas oral e escrita.,5.517241379310345,87,6,Comunicação oral e escrita
Pedagogia (Licenciatura) (13452),UFCG,PB,28,Aprendizagem além do técnico,Os conteúdos abordados nas disciplinas do curso favoreceram sua atuação em estágios ou em atividades de iniciação profissional.,5.517241379310345,29,1,Conteúdo útil p/ prática
Geografia (Licenciatura) (120777),UFCG,PB,34,Aprendizagem além do técnico,"O curso promoveu o desenvolvimento da sua capacidade de pensar criticamente, analisar e refletir sobre soluções para problemas da sociedade.",5.516129032258065,62,7,Pensamento crítico
Química (Licenciatura) (1152881),UFCG,PB,31,Aprendizagem além do técnico,O curso contribuiu para o desenvolvimento da sua consciência ética para o exercício profissional.,5.515151515151515,33,6,Consciência ética
Pedagogia (Licenciatura) (13410),UFCG,PB,66,Aprendizagem além do técnico,"As atividades acadêmicas desenvolvidas dentro e fora da sala de aula possibilitaram reflexão, convivência e respeito à diversidade.",5.511363636363637,88,2,Diversidade
Ciências Sociais (Licenciatura) (1106595),UFCG,PB,57,"Ensino, apoio e avaliacão",Os professores demonstraram domínio dos conteúdos abordados nas disciplinas.,5.51063829787234,47,5,Profs dominam assunto
Geografia (Licenciatura) (120777),UFCG,PB,51,Outros,As atividades realizadas durante seu trabalho de conclusão de curso contribuíram para qualificar sua formação profissional,5.5102040816326525,49,3,TCC
História (Licenciatura) (13449),UFCG,PB,34,Aprendizagem além do técnico,"O curso promoveu o desenvolvimento da sua capacidade de pensar criticamente, analisar e refletir sobre soluções para problemas da sociedade.",5.506666666666667,75,8,Pensamento crítico
Ciências Biológicas (Licenciatura) (1152882),UFCG,PB,35,Aprendizagem além do técnico,O curso contribuiu para você ampliar sua capacidade de comunicação nas formas oral e escrita.,5.5,32,7,Comunicação oral e escrita
Ciências Biológicas (Licenciatura) (1152882),UFCG,PB,60,Curso em geral,O curso disponibilizou monitores ou tutores para auxiliar os estudantes.,5.5,32,1,Monitores
Ciências Biológicas (Licenciatura) (99804),UFCG,PB,66,Aprendizagem além do técnico,"As atividades acadêmicas desenvolvidas dentro e fora da sala de aula possibilitaram reflexão, convivência e respeito à diversidade.",5.5,52,3,Diversidade
Geografia (Licenciatura) (120777),UFCG,PB,50,Outros,O estágio supervisionado proporcionou experiências diversificadas para a sua formação.,5.5,62,4,Estágio
Geografia (Licenciatura) (13407),UFCG,PB,33,Aprendizagem além do técnico,O curso possibilitou aumentar sua capacidade de reflexão e argumentação.,5.5,42,9,Reflexão e argumentação
Pedagogia (Licenciatura) (13410),UFCG,PB,32,Aprendizagem além do técnico,No curso você teve oportunidade de aprender a trabalhar em equipe.,5.494252873563219,87,5,Trabalhar em equipe
Ciências Sociais (Licenciatura) (1106595),UFCG,PB,28,Aprendizagem além do técnico,Os conteúdos abordados nas disciplinas do curso favoreceram sua atuação em estágios ou em atividades de iniciação profissional.,5.488888888888889,45,2,Conteúdo útil p/ prática
Letras-Português (Licenciatura) (1158116),UFCG,PB,31,Aprendizagem além do técnico,O curso contribuiu para o desenvolvimento da sua consciência ética para o exercício profissional.,5.483870967741935,31,7,Consciência ética
Química (Licenciatura) (99808),UFCG,PB,27,Aprendizagem além do técnico,"As disciplinas cursadas contribuíram para sua formação integral, como cidadão e profissional.",5.48,25,4,Formação cidadã e profissional
Química (Licenciatura) (99808),UFCG,PB,61,Infraestrutura,As condições de infraestrutura das salas de aula foram adequadas.,5.48,25,2,Salas de aula
Química (Licenciatura) (1152881),UFCG,PB,51,Outros,As atividades realizadas durante seu trabalho de conclusão de curso contribuíram para qualificar sua formação profissional,5.478260869565218,23,4,TCC
Letras-Português (Licenciatura) (1160083),UFCG,PB,39,"Ensino, apoio e avaliacão",As referências bibliográficas indicadas pelos professores nos planos de ensino contribuíram para seus estudos e aprendizagens.,5.4772727272727275,44,2,Bibliografia
Letras-Português (Licenciatura) (1160083),UFCG,PB,55,"Ensino, apoio e avaliacão",As avaliações da aprendizagem realizadas durante o curso foram compatíveis com os conteúdos ou temas trabalhados pelos professores.,5.4772727272727275,44,2,Avaliações
Letras-Português (Licenciatura) (1160083),UFCG,PB,66,Aprendizagem além do técnico,"As atividades acadêmicas desenvolvidas dentro e fora da sala de aula possibilitaram reflexão, convivência e respeito à diversidade.",5.4772727272727275,44,4,Diversidade
Pedagogia (Licenciatura) (13410),UFCG,PB,27,Aprendizagem além do técnico,"As disciplinas cursadas contribuíram para sua formação integral, como cidadão e profissional.",5.4772727272727275,88,5,Formação cidadã e profissional
Engenharia Florestal (13456),UFCG,PB,33,Aprendizagem além do técnico,O curso possibilitou aumentar sua capacidade de reflexão e argumentação.,5.476190476190476,21,10,Reflexão e argumentação
Engenharia Florestal (13456),UFCG,PB,35,Aprendizagem além do técnico,O curso contribuiu para você ampliar sua capacidade de comunicação nas formas oral e escrita.,5.476190476190476,21,8,Comunicação oral e escrita
Engenharia Florestal (13456),UFCG,PB,66,Aprendizagem além do técnico,"As atividades acadêmicas desenvolvidas dentro e fora da sala de aula possibilitaram reflexão, convivência e respeito à diversidade.",5.476190476190476,21,5,Diversidade
Pedagogia (Licenciatura) (13410),UFCG,PB,43,Curso em geral,"Foram oferecidas oportunidades para os estudantes participarem de programas, projetos ou atividades de extensão universitária.",5.471264367816092,87,4,Oport. de extensão
Arquitetura e Urbanismo (1129147),UFCG,PB,33,Aprendizagem além do técnico,O curso possibilitou aumentar sua capacidade de reflexão e argumentação.,5.469387755102042,49,11,Reflexão e argumentação
Ciências Biológicas (Licenciatura) (1152882),UFCG,PB,33,Aprendizagem além do técnico,O curso possibilitou aumentar sua capacidade de reflexão e argumentação.,5.46875,32,12,Reflexão e argumentação
Química (Licenciatura) (1152881),UFCG,PB,42,Curso em geral,O curso exigiu de você organização e dedicação frequente aos estudos.,5.46875,32,12,Exigiu org. e dedicação
Ciências Sociais (Licenciatura) (1106595),UFCG,PB,43,Curso em geral,"Foram oferecidas oportunidades para os estudantes participarem de programas, projetos ou atividades de extensão universitária.",5.466666666666666,45,5,Oport. de extensão
Letras-Português (Licenciatura) (1160083),UFCG,PB,43,Curso em geral,"Foram oferecidas oportunidades para os estudantes participarem de programas, projetos ou atividades de extensão universitária.",5.465116279069767,43,6,Oport. de extensão
História (Licenciatura) (13405),UFCG,PB,34,Aprendizagem além do técnico,"O curso promoveu o desenvolvimento da sua capacidade de pensar criticamente, analisar e refletir sobre soluções para problemas da sociedade.",5.458333333333334,72,9,Pensamento crítico
Ciências Biológicas (Licenciatura) (99804),UFCG,PB,51,Outros,As atividades realizadas durante seu trabalho de conclusão de curso contribuíram para qualificar sua formação profissional,5.458333333333333,48,5,TCC
Ciências Biológicas (Licenciatura) (99802),UFCG,PB,31,Aprendizagem além do técnico,O curso contribuiu para o desenvolvimento da sua consciência ética para o exercício profissional.,5.457142857142857,35,8,Consciência ética
